player_id,position,season,fantasy_pts,fantasy_pts_low_raw,fantasy_pts_low,fantasy_pts_high,fantasy_low_floor_applied,pg_attempts,pg_carries,pg_completions,pg_interceptions,pg_passing_tds,pg_passing_yards,pg_receiving_tds,pg_receiving_yards,pg_receptions,pg_rushing_tds,pg_rushing_yards,pg_targets,any_stat_low_n_flag,any_receiving_share_capped,any_receiving_share_normalized,display_name,team,source,low_confidence,rookie_tier,team_changed,roster_status,depth_rank,role,depth_chart_status,projected_games,projected_games_raw,role_discount_factor,role_discount_applied,nfl_depth_rank,projected_volume_games,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_id_unresolved,rookie_availability_cell_n,rookie_availability_fallback_used,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,fantasy_pts_season,fantasy_pts_season_low,fantasy_pts_season_high
00-0035710,QB,2026,14.673287270351054,6.366948810040487,6.366948810040487,24.77421708988052,False,25.505220812556118,2.964057620985912,16.50579562279677,0.7349692795655844,1.5011118983128533,209.60292464379611,,,,0.0869765000203466,12.328022503568851,,False,False,False,Daniel Jones,IND,veteran_model,False,,False,ACT,1.0,starter,curated,12.295582765638772,12.295582765638772,1.0,False,1.0,12.295582765638772,,,,,,,,33.819686508835005,234.02693422664208,26.500800154053703,117.38636019360476,2025.0,IND,canonical_source_team_frame,180.4166180765952,78.2853460584381,304.61343668252846
00-0040691,QB,2026,14.628236278639456,5.836708477791999,5.836708477791999,24.492131359867017,False,19.721519195124525,6.909550971029029,10.880993614333187,0.3989201915057553,0.8003968992242273,141.94805640802718,,,,0.46562613149423254,37.52810019467572,,False,False,False,Jaxson Dart,NYG,veteran_model,False,,False,ACT,1.0,starter,curated,13.845830872017133,13.845830872017133,1.0,False,1.0,13.845830872017133,,,,,,,,33.24318823444577,223.72200991226288,27.969267844990632,122.67699998352342,2025.0,NYG,canonical_source_team_frame,202.5400854699472,80.81407843277658,339.1139085039457
00-0041512,RB,2026,14.464730051250944,6.442483927684356,6.442483927684356,21.537487048580566,False,,15.400902834813678,,,,,0.13253623088045524,23.678533867803505,3.117911570543986,0.4796299191245317,68.64923979168678,4.1800820056578205,True,False,False,Jadarian Price,SEA,rookie_rule,True,drafted,False,,2.0,committee,rookie_path,13.0,13.0,1.0,False,2.0,13.0,above_median,2.0,rank_2,0.9572025025535296,False,5.0,False,,,,,,,,188.04149066626226,83.75229105989663,279.98733163154736
00-0037248,RB,2026,14.44727106896833,9.889707942295,9.889707942295,20.855377202225746,False,,16.367098076441483,,,,,0.06554587777344832,17.320076079756493,2.1915819017197182,0.6117128902340808,75.55919902087646,2.9111935789985024,False,False,False,James Cook,BUF,veteran_model,False,,False,ACT,1.0,starter,curated,14.193594715728404,14.193594715728404,1.0,False,1.0,14.193594715728404,,,,,,,,33.21002626467289,231.99810200162543,27.995140482336904,133.52540408900225,2025.0,BUF,canonical_source_team_frame,205.05871030120474,140.37050638985554,296.01277165203396
00-0036223,RB,2026,14.399335875122112,9.808340626354063,9.808340626354063,20.80744200837953,False,,16.33419162985127,,,,,0.1371782739064625,17.374286978027072,2.632296357048504,0.5893524594116611,69.86574598886409,3.49605153588198,False,False,False,Jonathan Taylor,IND,veteran_model,False,,False,ACT,1.0,starter,curated,13.1097949844553,13.1097949844553,1.0,False,1.0,13.1097949844553,,,,,,,,33.819686508835005,234.02693422664208,26.500800154053703,117.38636019360476,2025.0,IND,canonical_source_team_frame,188.77234123516314,128.58533474920566,272.7812988807985
00-0038543,WR,2026,14.325530619051964,11.345418811004283,11.345418811004283,18.434284701139084,False,,,,,,,0.5135259470806434,79.65170956439817,6.558407960256569,,,9.366446304287042,False,False,False,Jaxon Smith-Njigba,SEA,veteran_model,False,,False,ACT,1.0,starter,curated,14.930318439350504,14.930318439350504,1.0,False,1.0,14.930318439350504,,,,,,,,32.225845759159824,233.1409897885389,27.937986411950597,119.71889503194852,2025.0,SEA,canonical_source_team_frame,213.88473395511178,169.3907156760913,275.22974078965376
00-0039361,RB,2026,14.233991596380825,9.642996347612776,9.642996347612776,20.642097729638245,False,,15.210684440179,,,,,0.1323747332035175,21.122804519187646,2.689461277139622,0.4812308132040169,70.95347227447041,3.4924423524876835,False,False,False,Bucky Irving,TB,veteran_model,False,,False,ACT,1.0,starter,curated,13.093850071733936,13.093850071733936,1.0,False,1.0,13.093850071733936,,,,,,,,33.5451456097649,223.7139473344186,27.714856316659535,117.7146256375168,2025.0,TB,canonical_source_team_frame,186.37775188533132,126.26394841791964,270.2845328379627
00-0041562,QB,2026,14.089772547169607,7.280392156862744,7.280392156862744,23.20430631329455,False,29.37804529348647,4.237054666466431,17.98260217451394,0.6908464356993769,1.0584339135809726,196.83095368683604,,,,0.21228893655364242,20.90757997449174,,False,False,False,Fernando Mendoza,LV,rookie_rule,True,drafted,False,,2.0,backup,rookie_path,9.941176470588236,9.941176470588236,1.0,False,2.0,9.941176470588236,no_data,2.0,rank_2,1.0,False,17.0,False,,,,,,,,140.06891532186256,72.37566320645905,230.6781039380458
00-0036442,QB,2026,14.011576389246818,6.3690324295429175,6.3690324295429175,24.112506208776285,False,30.808919655067086,1.8944483377122698,19.992618775584607,0.7935978306428095,1.46179235509063,220.9734921200879,,,,0.07045229965431371,4.899491474405198,,False,False,False,Joe Burrow,CIN,veteran_model,False,,False,ACT,1.0,starter,curated,15.410357664457141,15.410357664457141,1.0,False,1.0,15.410357664457141,,,,,,,,35.761155714222895,238.6430156013012,25.120234653951606,107.36930606582474,2025.0,CIN,canonical_source_team_frame,215.92340360115642,98.14906771578279,371.58234486368605
00-0033106,QB,2026,13.846862860220497,6.340665107702567,6.340665107702567,23.947792679749966,False,30.308850598276372,1.5964280714964967,20.107458704011048,0.6852083841399293,1.4459208049430026,216.43199176369788,,,,0.06150847393159442,4.072658945908659,,False,False,False,Jared Goff,DET,veteran_model,False,,False,ACT,1.0,starter,curated,15.174676628525294,15.174676628525294,1.0,False,1.0,15.174676628525294,,,,,,,,33.92979712201368,246.18859977155995,26.79038838236451,118.19015619651694,2025.0,DET,canonical_source_team_frame,210.12166622338287,96.21754261915996,363.40000988217093
